caso,nodo_u,nodo_v,dist_km,SKR_bits_pulso,viable_QKD
CyL,Ledesma,Vitigudino,37.9777652236385,0.003265312963225275,True
CyL,Ledesma,Bermillo de Sayago,32.03668330307157,0.004296822626851644,True
CyL,Ledesma,Fermoselle,41.84314072027426,0.002731417999672118,True
CyL,Ledesma,Fuentesaúco,44.749756973794845,0.0023883323506676685,True
CyL,Lumbrales,Vitigudino,24.823372356924786,0.00599816961388437,True
CyL,Peñaranda de Bracamonte,Fuentesaúco,43.77413228481666,0.0024983913334849306,True
CyL,Vitigudino,Fermoselle,34.61240352574149,0.003814613327558848,True
CyL,Mozoncillo,Cantalejo,37.89636991032257,0.0032776137408176914,True
CyL,Mozoncillo,Burgo de Osma-Ciudad de Osma,42.75954141233076,0.0026182342575470467,True
CyL,Cantalejo,Carbonero el Mayor,32.12163352120318,0.00427998416277413,True
CyL,Cantalejo,Campaspero,34.49958968191478,0.0038345507655162536,True
CyL,Cantalejo,San Cristóbal de Segovia,36.222189144338735,0.0035411779768646807,True
CyL,Carbonero el Mayor,Nava de la Asunción,18.81865207226918,0.007920629089807743,True
CyL,Carbonero el Mayor,Campaspero,41.56758082550905,0.002766400618988414,True
CyL,Carbonero el Mayor,San Cristóbal de Segovia,24.75387536091307,0.006017489291096519,True
CyL,Carbonero el Mayor,Pedrajas de San Esteban,35.601888140463,0.0036441348510881707,True
CyL,Nava de la Asunción,Campaspero,44.53095328674479,0.0024125854345020256,True
CyL,Nava de la Asunción,San Cristóbal de Segovia,41.20626733545803,0.002812950372276044,True
CyL,Nava de la Asunción,Pedraja de Portillo (La),37.590823940576804,0.0033242046558819606,True
CyL,Nava de la Asunción,Pedrajas de San Esteban,21.834835425570404,0.0068879818464754675,True
CyL,Campaspero,Pedraja de Portillo (La),37.04336152061824,0.003409349622154796,True
CyL,Campaspero,Pedrajas de San Esteban,36.06272821881186,0.0035673634558231544,True
CyL,Campaspero,Traspinedo,24.533598950457005,0.006079138380608104,True
