origen,destino,sp_hops,sp_dist_km,sp_skr_bottleneck,mqr_hops,mqr_dist_km,mqr_skr_bottleneck,skr_gain,hop_overhead
Lumbrales,Vega de Espinareda,10,342.5,0.0023883323506676685,19,526.1,0.004161695298660283,1.7425109606277633,9
Lumbrales,Villoria,4,136.2,0.0027830186155847754,7,186.7,0.004296822626851644,1.5439431855718235,3
Lumbrales,Guijuelo,3,115.6,0.002833277034670717,8,213.0,0.004009396556266406,1.4151092558911655,5
Lumbrales,Santovenia de Pisuerga,6,221.7,0.0023883323506676685,12,323.3,0.004239987948882285,1.775292265206297,6
Lumbrales,Fuentes de Oñoro,1,38.9,0.0031295777947389332,4,108.7,0.004321765495694057,1.3809420244990507,3
Lumbrales,Burgo de Osma-Ciudad de Osma,9,346.6,0.0024543131108297456,18,477.2,0.003985783737065429,1.6239915434905245,9
Lumbrales,San Cristóbal de Segovia,7,257.3,0.0023883323506676685,14,369.2,0.004239987948882285,1.775292265206297,7
Lumbrales,Villada,7,282.6,0.0023883323506676685,15,408.6,0.004239987948882285,1.775292265206297,8
Lumbrales,Lerma,9,346.7,0.0024543131108297456,19,526.2,0.0036891990249717658,1.5031492961077546,10
Lumbrales,Alberca (La),2,77.8,0.002833277034670717,10,265.1,0.004009396556266406,1.4151092558911655,8
Lumbrales,Salamanca,3,111.8,0.0027830186155847754,6,162.3,0.004296822626851644,1.5439431855718235,3
Lumbrales,Pola de Gordón (La),9,340.5,0.0023883323506676685,19,523.1,0.004161695298660283,1.7425109606277633,10
Lumbrales,Belorado,11,424.8,0.0024543131108297456,20,536.2,0.004239987948882285,1.7275660265893478,9
Lumbrales,Valle de Mena,13,478.9,0.0024543131108297456,21,570.7,0.004239987948882285,1.7275660265893478,8
Lumbrales,Carpio,4,157.4,0.0023883323506676685,9,247.1,0.004239987948882285,1.775292265206297,5
Lumbrales,Navaluenga,6,205.5,0.002446867511943354,12,324.8,0.004009396556266406,1.6385834282797185,6
Lumbrales,Nava de la Asunción,6,216.0,0.0023883323506676685,12,325.6,0.004239987948882285,1.775292265206297,6
Sabero,Barco de Ávila (El),9,320.9,0.0025322904116681535,17,442.4,0.004009396556266406,1.5833083511243897,8
Sabero,Villalpando,4,128.5,0.0029953657316153957,8,186.2,0.0048899279575418024,1.6324977968231855,4
Sabero,Villaralbo,6,208.7,0.002906606989877783,14,366.9,0.004076539336137008,1.402507924302631,8
Sabero,Ólvega,10,359.1,0.0024590134962611133,21,552.8,0.0030034822654554164,1.2214175603436737,11
Sabero,Ledesma,7,263.3,0.0023883323506676685,15,397.7,0.004161695298660283,1.7425109606277633,8
Sabero,Salas de los Infantes,7,251.2,0.002374969385237565,16,403.1,0.003985783737065429,1.6782463647070283,9
Sabero,Puebla de Sanabria,6,209.9,0.002595504034179046,9,221.1,0.002595504034179046,1.0,3
Sabero,Villadecanes,4,151.9,0.002623672275860571,8,163.3,0.0041777461710750564,1.5923277497395307,4
Sabero,Peñaranda de Bracamonte,7,261.8,0.0026984674059517457,16,412.9,0.004161695298660283,1.542244049152211,9
Sabero,Saldaña,2,66.1,0.00273497697536197,15,358.5,0.004161695298660283,1.5216564293414168,13
Sabero,Candeleda,10,353.9,0.0025322904116681535,18,475.3,0.004009396556266406,1.5833083511243897,8
Sabero,Venta de Baños,4,138.0,0.00273497697536197,12,282.6,0.004161695298660283,1.5216564293414168,8
Sabero,Cubillos del Sil,4,135.3,0.002623672275860571,7,146.6,0.0041777461710750564,1.5923277497395307,3
Sabero,Villaquilambre,1,39.8,0.0029953657316153957,3,59.3,0.006136527530112209,2.048673878232155,2
Sabero,Mozoncillo,8,271.7,0.0026574481020583606,15,381.4,0.004107009430085027,1.5454711709718394,7
Sabero,Burgos,5,163.6,0.0026574481020583606,17,420.5,0.004161695298660283,1.5660495102187653,12
Sabero,Vitigudino,8,301.2,0.0023883323506676685,19,503.7,0.004161695298660283,1.7425109606277633,11
Sabero,Zaratán,5,175.6,0.00273497697536197,10,244.0,0.004161695298660283,1.5216564293414168,5
Sabero,Arcos de Jalón,11,361.4,0.0026574481020583606,20,518.9,0.003378917933904848,1.2714897165019567,9
Sabero,Miranda de Ebro,7,242.1,0.0026123224996552567,19,482.0,0.003866989995220292,1.4802881327748054,12
Sabero,Aldeadávila de la Ribera,9,329.1,0.0023883323506676685,18,475.9,0.004161695298660283,1.7425109606277633,9
Sabero,Viana de Cega,5,188.3,0.002425433731701029,11,259.0,0.004161695298660283,1.7158561144202287,6
Sabero,Seca (La),6,205.9,0.0029953657316153957,11,273.3,0.004161695298660283,1.3893780164253557,5
Sabero,Roa,7,238.1,0.0026574481020583606,13,328.2,0.004161695298660283,1.5660495102187653,6
Sabero,Cebreros,9,331.4,0.0023560875035299883,21,552.8,0.004009396556266406,1.701718017798304,12
Sabero,Torquemada,4,150.1,0.0026574481020583606,13,301.7,0.004161695298660283,1.5660495102187653,9
Sabero,Campaspero,6,200.9,0.00273497697536197,12,296.2,0.004161695298660283,1.5216564293414168,6
Sabero,Traspinedo,5,176.4,0.00273497697536197,11,271.6,0.004161695298660283,1.5216564293414168,6
Sabero,Santovenia de la Valdoncina,2,51.7,0.0029953657316153957,3,59.7,0.006136527530112209,2.048673878232155,1
Sabero,Barruelo de Santullán,3,71.4,0.005027757760445335,3,71.4,0.005027757760445335,1.0,0
