,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Clustering Coefficient,Cluster
Sant Feliu de Pallerols,0.01791359325605901,0.05954696617933112,0.0009441233465892401,0.06017867644412366,0.625,0
Castellserà,0.014752370916754477,0.07132120847737862,0.02111157524078859,0.013578139869171663,0.4945054945054945,2
Soses,0.0136986301369863,0.07568990269580475,0.005558128808034114,0.0024627198757020113,0.7435897435897436,1
Lleida,0.015806111696522653,0.07580477673935618,0.025825114015833983,0.003946253422583086,0.6571428571428571,1
Rosselló,0.014752370916754477,0.074140625,0.01023652899344421,0.0029183742745831805,0.7142857142857143,1
Alfarràs,0.01685985247629083,0.07419279180673911,0.011989411859672986,0.0029462161866413493,0.6,0
Tàrrega,0.012644889357218123,0.07131048993086865,0.015438765746221465,0.02162568166482662,0.5606060606060606,0
Juneda,0.01791359325605901,0.07441969887076537,0.022214542481816348,0.009642941140864753,0.5220588235294118,0
Puigverd de Lleida,0.01685985247629083,0.07431480031323415,0.007511880823378223,0.006395934872264559,0.5583333333333333,0
Ponts,0.011591148577449946,0.06705292164205469,0.0023623546554283827,0.014652277096859482,0.4727272727272727,2
Térmens,0.012644889357218123,0.07106484948330088,0.0013886666197678683,0.004285479898201871,0.7272727272727273,1
Golmés,0.014752370916754477,0.07130513186565482,0.01571728661891933,0.01585531475495427,0.5604395604395604,0
Vielha e Mijaran,0.0031612223393045306,0.06346976993044409,6.439732870806776e-05,8.032432061944266e-05,0.6666666666666666,1
Torà,0.01685985247629083,0.0671858407079646,0.013377972414795611,0.06580694460239592,0.5083333333333333,0
Isona i Conca Dellà,0.0073761854583772385,0.06696775104085809,0.0013340437515080613,0.0049826379760733635,0.6190476190476191,0
Seu d'Urgell (La),0.009483667017913592,0.06532213656387666,0.005094369100650576,0.009215290179076546,0.5277777777777778,0
Oliana,0.012644889357218123,0.06712881092169484,0.006592936340734692,0.02049389957956978,0.48484848484848486,2
Pobla de Segur (La),0.0073761854583772385,0.06805306561491574,0.009468744721708309,0.0022673139786048065,0.42857142857142855,2
Vall de Boí (La),0.004214963119072708,0.06394878706199461,0.00015631061570896518,0.00017587179880237366,0.5,2
Sant Llorenç de Morunys,0.012644889357218123,0.0632793225311729,0.0009824026368596551,0.03143057549791671,0.5909090909090909,0
Solsona,0.015806111696522653,0.06499109710998494,0.0014782400689882331,0.05140969779403374,0.5428571428571428,0
Sort,0.006322444678609061,0.0651114922813036,0.0010360544118265481,0.001637299261650768,0.5333333333333333,0
Bisbal del Penedès (La),0.022128556375131715,0.0696309340377137,0.029894496298563694,0.09757667564811762,0.6190476190476191,0
Alcanar,0.009483667017913592,0.07855960264900662,0.06621743820645187,0.00015200050228493712,0.6388888888888888,0
Vilallonga del Camp,0.012644889357218123,0.06943733079680983,0.0013745202898058791,0.03233971753501907,0.7727272727272727,1
Amposta,0.01053740779768177,0.07834557912986048,0.007640267370982858,0.000325544121054144,0.5777777777777777,0
Alforja,0.014752370916754477,0.07396726422447389,0.030402483153471757,0.01787910055001328,0.5604395604395604,0
Reus,0.011591148577449946,0.07200849836861674,0.0044799069424524334,0.021458136068441352,0.7636363636363637,1
Pobla de Montornès (La),0.015806111696522653,0.06949835225192237,0.004769017840330123,0.05669514670110307,0.6952380952380952,1
Perelló (El),0.01053740779768177,0.07618206630809986,0.0659259215697385,0.0022743480569978854,0.5555555555555556,0
Flix,0.0136986301369863,0.07620653657753151,0.01048908574472257,0.0032756169429779534,0.4230769230769231,2
Gandesa,0.01053740779768177,0.07629230645550285,0.0013377597367084468,0.000828341763786486,0.5555555555555556,0
Benissanet,0.012644889357218123,0.07649524423665968,0.009318343781156983,0.0032061675522340547,0.4696969696969697,2
Montbrió del Camp,0.012644889357218123,0.07388088750486571,0.027918874115858923,0.017203202042127216,0.6515151515151515,1
Cabra del Camp,0.022128556375131715,0.0719539009780878,0.02708744698107384,0.07705051852742047,0.5190476190476191,0
Deltebre,0.008429926238145416,0.07562355566180572,0.00033847452154378734,0.00031944012473614203,0.7142857142857143,1
