red,protocolo,p,S,S_std,C_median,C_median_std,C_mean,C_ci_low,C_ci_high
adif,degree_adaptive,0.49,0.004123711340206186,,0.0,,0.0,,
adif,degree_adaptive,0.5,0.004123711340206186,,0.0,,0.0,,
adif,betweenness_static,0.0,1.0,,3.657112903257548e-05,,0.0003504881883480674,,
adif,betweenness_static,0.01,0.9814432989690721,,3.190540192695517e-05,,0.0003389522681053552,,
adif,betweenness_static,0.02,0.9690721649484536,,2.234380702984928e-05,,0.0003353423454862603,,
adif,betweenness_static,0.03,0.9567010309278351,,2.234380702984928e-05,,0.00032476269123710134,,
adif,betweenness_static,0.04,0.9443298969072165,,2.234380702984928e-05,,0.0003041579302335165,,
adif,betweenness_static,0.05,0.9175257731958762,,2.234380702984928e-05,,0.0002934407901414695,,
adif,betweenness_static,0.06,0.9134020618556701,,2.234380702984928e-05,,0.00029260134603802427,,
adif,betweenness_static,0.07,0.9010309278350516,,0.0,,0.0002801976623236343,,
adif,betweenness_static,0.08,0.8865979381443299,,0.0,,0.0002741031827127749,,
adif,betweenness_static,0.09,0.51340206185567,,0.0,,0.0002544543427082775,,
adif,betweenness_static,0.1,0.35670103092783506,,0.0,,0.00023735319129937095,,
adif,betweenness_static,0.11,0.3463917525773196,,0.0,,0.00023674707140193887,,
adif,betweenness_static,0.12,0.30515463917525776,,0.0,,0.00023467767236931206,,
adif,betweenness_static,0.13,0.22474226804123712,,0.0,,0.00023267114849498583,,
adif,betweenness_static,0.14,0.22474226804123712,,0.0,,0.00023146246987660885,,
adif,betweenness_static,0.15,0.1958762886597938,,0.0,,0.0002297536474693053,,
adif,betweenness_static,0.16,0.19381443298969073,,0.0,,0.00022319264062442134,,
adif,betweenness_static,0.17,0.17938144329896907,,0.0,,0.00021437607284757493,,
adif,betweenness_static,0.18,0.1731958762886598,,0.0,,0.00020326230473694822,,
adif,betweenness_static,0.19,0.16082474226804125,,0.0,,0.00019990376119537876,,
adif,betweenness_static,0.2,0.15876288659793814,,0.0,,0.00018841157259926023,,
adif,betweenness_static,0.21,0.15463917525773196,,0.0,,0.00018123993662342024,,
adif,betweenness_static,0.22,0.15463917525773196,,0.0,,0.0001684227970321331,,
adif,betweenness_static,0.23,0.10309278350515463,,0.0,,0.00016433147361691306,,
adif,betweenness_static,0.24,0.10309278350515463,,0.0,,0.00016433147361691306,,
adif,betweenness_static,0.25,0.10309278350515463,,0.0,,0.0001513827498566569,,
adif,betweenness_static,0.26,0.088659793814433,,0.0,,0.00012870552169638104,,
adif,betweenness_static,0.27,0.088659793814433,,0.0,,0.00012155849989480714,,
adif,betweenness_static,0.28,0.088659793814433,,0.0,,0.00012064233214285554,,
adif,betweenness_static,0.29,0.0865979381443299,,0.0,,0.0001166747252786017,,
adif,betweenness_static,0.3,0.07010309278350516,,0.0,,0.00011303033761333534,,
adif,betweenness_static,0.31,0.07010309278350516,,0.0,,0.00011303033761333534,,
adif,betweenness_static,0.32,0.06804123711340206,,0.0,,9.076269531206347e-05,,
adif,betweenness_static,0.33,0.0577319587628866,,0.0,,8.718204801936695e-05,,
adif,betweenness_static,0.34,0.05154639175257732,,0.0,,7.982040130589798e-05,,
