red,protocolo,p,S_mean,S_std,C_median_mean,C_median_std
adif,degree_adaptive,0.46,0.003381443298969072,0.0009896907216494846,,
adif,degree_adaptive,0.47,0.002515463917525773,0.0008541160897817723,,
adif,degree_adaptive,0.48,0.002103092783505155,0.000288659793814433,,
adif,degree_adaptive,0.49,0.002061855670103093,0.0,,
adif,degree_adaptive,0.5,0.002061855670103093,0.0,0.0,0.0
adif,betweenness_adaptive,0.0,0.9091958762886597,0.012274259881051503,0.01111859433467468,0.00125406077848209
adif,betweenness_adaptive,0.01,0.8914639175257733,0.014723208788597281,,
adif,betweenness_adaptive,0.02,0.8724948453608248,0.01807559614806609,,
adif,betweenness_adaptive,0.03,0.8528659793814433,0.019976647010010666,,
adif,betweenness_adaptive,0.04,0.8338969072164947,0.02520245582002252,,
adif,betweenness_adaptive,0.05,0.808659793814433,0.030204602189245332,0.0021944007729930303,0.0016118317473233308
adif,betweenness_adaptive,0.06,0.7709690721649483,0.03880638051217524,,
adif,betweenness_adaptive,0.07,0.7291134020618556,0.059863294150995124,,
adif,betweenness_adaptive,0.08,0.6487422680412371,0.0799476499989523,,
adif,betweenness_adaptive,0.09,0.5364948453608248,0.1060611822780887,,
adif,betweenness_adaptive,0.1,0.38032989690721647,0.11266882727816986,0.0,0.0
adif,betweenness_adaptive,0.11,0.21678350515463915,0.08332653417545756,,
adif,betweenness_adaptive,0.12,0.10956701030927835,0.037623097990348,,
adif,betweenness_adaptive,0.13,0.06602061855670104,0.014628949528615045,,
adif,betweenness_adaptive,0.14,0.04461855670103093,0.007055765302098668,,
adif,betweenness_adaptive,0.15,0.03348453608247423,0.004276747929885087,0.0,0.0
adif,betweenness_adaptive,0.16,0.026721649484536078,0.0035463917525773206,,
adif,betweenness_adaptive,0.17,0.023216494845360824,0.0023257878189201766,,
adif,betweenness_adaptive,0.18,0.01929896907216495,0.0017378397942849877,,
adif,betweenness_adaptive,0.19,0.016989690721649485,0.0015185115578987187,,
adif,betweenness_adaptive,0.2,0.01496907216494845,0.0012239853261571817,0.0,0.0
adif,betweenness_adaptive,0.21,0.01315463917525773,0.0011583152086753112,,
adif,betweenness_adaptive,0.22,0.011752577319587627,0.001254177841298602,,
adif,betweenness_adaptive,0.23,0.010432989690721648,0.0004896635912180584,,
adif,betweenness_adaptive,0.24,0.009938144329896908,0.0008930477454724829,,
adif,betweenness_adaptive,0.25,0.009113402061855671,0.001017646406536335,0.0,0.0
adif,betweenness_adaptive,0.26,0.008371134020618558,0.0004896635912180584,,
adif,betweenness_adaptive,0.27,0.008164948453608246,0.0005773195876288661,,
adif,betweenness_adaptive,0.28,0.00734020618556701,0.001103429951361621,,
adif,betweenness_adaptive,0.29,0.006432989690721649,0.0006700237859493577,,
adif,betweenness_adaptive,0.3,0.0062268041237113405,0.0002886597938144331,0.0,0.0
adif,betweenness_adaptive,0.31,0.0062268041237113405,0.0002886597938144331,,
adif,betweenness_adaptive,0.32,0.0062268041237113405,0.0002886597938144331,,
adif,betweenness_adaptive,0.33,0.006185567010309277,0.0004123711340206185,,
adif,betweenness_adaptive,0.34,0.005773195876288659,0.0009220898876287791,,
