red,protocolo,p,S,S_std,C_median,C_median_std,C_mean,C_ci_low,C_ci_high
espana,betweenness_adaptive,0.4,0.02526315789473684,,0.0,,2.2693094100480647e-05,,
espana,betweenness_adaptive,0.41,0.018947368421052633,,0.0,,1.5965631046736103e-05,,
espana,betweenness_adaptive,0.42,0.018947368421052633,,0.0,,1.3819397293659e-05,,
espana,betweenness_adaptive,0.43,0.017894736842105262,,0.0,,1.3819397293659e-05,,
espana,betweenness_adaptive,0.44,0.016842105263157894,,0.0,,1.038723043421255e-05,,
espana,betweenness_adaptive,0.45,0.016842105263157894,,0.0,,1.038723043421255e-05,,
espana,betweenness_adaptive,0.46,0.016842105263157894,,0.0,,1.038723043421255e-05,,
espana,betweenness_adaptive,0.47,0.016842105263157894,,0.0,,1.038723043421255e-05,,
espana,betweenness_adaptive,0.48,0.016842105263157894,,0.0,,1.038723043421255e-05,,
espana,betweenness_adaptive,0.49,0.016842105263157894,,0.0,,1.038723043421255e-05,,
espana,betweenness_adaptive,0.5,0.015789473684210527,,0.0,,1.01265150880308e-05,,
espana,random,0.0,1.0,0.0,0.0032688385638480004,4.336808689942018e-19,0.0031319790183950828,0.0032688385638480004,0.0032688385638480004
espana,random,0.01,0.9894526315789475,0.00014736842105262272,,,,,
espana,random,0.02,0.9799368421052636,0.00024998614920078324,,,,,
espana,random,0.03,0.9694000000000003,0.0002685758067825749,,,,,
espana,random,0.04,0.9599157894736841,0.000285571788763152,,,,,
espana,random,0.05,0.9493684210526316,0.0003157894736842248,0.002841818067292198,0.0001635566701636661,0.0026467950715230587,0.0028107637375755943,0.0028766932699349824
espana,random,0.06,0.9398631578947365,0.0004379504013202913,,,,,
espana,random,0.07,0.9293052631578945,0.0005309271668597376,,,,,
espana,random,0.08,0.919778947368421,0.000582191865643166,,,,,
espana,random,0.09,0.9091894736842105,0.0006633249580710925,,,,,
espana,random,0.1,0.8996631578947372,0.0007120646115910752,0.0025790135669486974,0.00015024411030764746,0.00224759242745476,0.0025521713168388128,0.0026073322322310625
espana,random,0.11,0.8890947368421055,0.0007219548715571327,,,,,
espana,random,0.12,0.8795789473684209,0.0007443229275647986,,,,,
espana,random,0.13,0.8689578947368422,0.0008993072125830262,,,,,
espana,random,0.14,0.8593894736842106,0.0009782113815148478,,,,,
espana,random,0.15,0.8480842105263156,0.007857286612348255,0.002396408502664559,0.00012669926327945046,0.0018974217623778421,0.0023727119454116023,0.002421611571117062
espana,random,0.16,0.8385894736842106,0.007751286194763433,,,,,
espana,random,0.17,0.8280210526315791,0.007536106991494865,,,,,
espana,random,0.18,0.8175578947368419,0.01195177753096101,,,,,
espana,random,0.19,0.8070210526315789,0.011657204446712999,,,,,
espana,random,0.2,0.7974210526315788,0.011569733175910885,0.0021591351158842032,0.0002892082806408798,0.0015987367949562303,0.0020992693967827308,0.0022099225926641747
espana,random,0.21,0.7867578947368418,0.011479168172784045,,,,,
espana,random,0.22,0.777221052631579,0.011220795889232265,,,,,
espana,random,0.23,0.7665894736842105,0.0110186143183181,,,,,
espana,random,0.24,0.7569263157894739,0.01091765197529852,,,,,
espana,random,0.25,0.7456315789473684,0.013136719803749185,0.0019094099383436718,0.00039256633658959784,0.001318611955840346,0.0018157330241096682,0.001981538569659111
espana,random,0.26,0.7342526315789472,0.020458143201881693,,,,,
espana,random,0.27,0.7220947368421055,0.022558508722641077,,,,,
espana,random,0.28,0.7123894736842105,0.0225016367517942,,,,,
espana,random,0.29,0.7016736842105264,0.022681753438792418,,,,,
espana,random,0.3,0.6908421052631578,0.031664620626907614,0.0001988224384774415,0.0005017707007064001,0.0010743032438468123,9.932761163874563e-05,0.0003071924574002512
espana,random,0.31,0.6785052631578945,0.03304699247906469,,,,,
espana,random,0.32,0.6682421052631581,0.032771197069083706,,,,,
espana,random,0.33,0.6576947368421052,0.032257171248466734,,,,,
espana,random,0.34,0.6472,0.03226095811166414,,,,,
espana,random,0.35,0.6345473684210527,0.03285977257589608,0.0,0.0,0.0008440266886349925,0.0,0.0
espana,random,0.36,0.6240315789473684,0.032872137078715814,,,,,
espana,random,0.37,0.6116736842105264,0.03318782108159624,,,,,
espana,random,0.38,0.5986736842105262,0.040067704474155426,,,,,
espana,random,0.39,0.5866631578947368,0.03970530083159456,,,,,
espana,random,0.4,0.5751368421052632,0.04506118462835618,0.0,0.0,0.0006586707263099819,0.0,0.0
espana,random,0.41,0.5614105263157896,0.04683849069436713,,,,,
espana,random,0.42,0.5476210526315789,0.051910880375746295,,,,,
espana,random,0.43,0.5324526315789473,0.05678555764264981,,,,,
espana,random,0.44,0.5200736842105262,0.05742146364848798,,,,,
espana,random,0.45,0.5072736842105262,0.056686550310894604,0.0,0.0,0.0004886400296362492,0.0,0.0
espana,random,0.46,0.49509473684210525,0.05729337824858764,,,,,
espana,random,0.47,0.47271578947368426,0.06430858431516355,,,,,
espana,random,0.48,0.4574000000000001,0.06537044746414124,,,,,
espana,random,0.49,0.4385473684210525,0.0689970540139496,,,,,
espana,random,0.5,0.41787368421052634,0.07487607194280753,0.0,0.0,0.00032917612013834885,0.0,0.0
