cod,nombre,categoria,tipo_dep,lat,lon,vecino_cod,vecino_nombre,vecino_cat,vecino_tipo_dep,vecino_lat,vecino_lon,dist_km,tipo_red,linea
A5040,"ALCOLEA-AGUJA KM.431,9",S,Bifurcación,37.9264910804932,-4.68768500979563,50413,ALCOLEA DE CORDOBA,P,Túnel,37.9330523141296,-4.67536143473978,1.6,Uso resto viaj. Interciud,400-ALCAZAR SAN JUAN-CADIZ
A5040,"ALCOLEA-AGUJA KM.431,9",S,Bifurcación,37.9264910804932,-4.68768500979563,50417,CAMPUS UNIVERS. DE RABANALES(APD),P,Punto KM,37.9125565951508,-4.72068762257929,3.5,Uso resto viaj. Interciud,400-ALCAZAR SAN JUAN-CADIZ
A5050,"AGUJA KM. 1,337",S,Bifurcación,37.8715110236215,-4.8358812822486,50512,CORDOBA-MERCANCIAS,S,Estación,37.8759767463012,-4.82165745573253,1.3,Uso mercancías,430-BIF CORDOBA - MERCANCIAS-LOS PRADOS
A5050,"AGUJA KM. 1,337",S,Bifurcación,37.8715110236215,-4.8358812822486,54100,VALCHILLON,S,Túnel,37.8364988951145,-4.8325581663396,6.3,Uso mercancías,430-BIF CORDOBA - MERCANCIAS-LOS PRADOS
A5100,"LA SALUD-AGUJA KM. 6,2",S,Bifurcación,37.3406112564396,-5.96650457128845,A5101,"LA SALUD-AGUJA KM. 10,2",S,Bifurcación,37.3402536474573,-5.95932352574377,0.8,N.Cercanías < 80 cir/día,"456-LA SALUD AGJ. KM. 6,2-LA SALUD AGJ. KM. 10,2"
A5100,"LA SALUD-AGUJA KM. 6,2",S,Bifurcación,37.3406112564396,-5.96650457128845,51113,JARDINES DE HERCULES (APD),S,Punto KM,37.3327074082888,-5.96400474404074,0.9,N.Cercanías < 80 cir/día,400-ALCAZAR SAN JUAN-CADIZ
A5100,"LA SALUD-AGUJA KM. 6,2",S,Bifurcación,37.3406112564396,-5.96650457128845,51110,VIRGEN DEL ROCIO (APD),P,Punto KM,37.3628242967432,-5.97599204189495,2.7,N.Cercanías < 80 cir/día,400-ALCAZAR SAN JUAN-CADIZ
A5101,"LA SALUD-AGUJA KM. 10,2",S,Bifurcación,37.3402536474573,-5.95932352574377,A5100,"LA SALUD-AGUJA KM. 6,2",S,Bifurcación,37.3406112564396,-5.96650457128845,0.8,N.Cercanías < 80 cir/día,"456-LA SALUD AGJ. KM. 6,2-LA SALUD AGJ. KM. 10,2"
A5101,"LA SALUD-AGUJA KM. 10,2",S,Bifurcación,37.3402536474573,-5.95932352574377,51101,LA SALUD,S,Estación,37.3290698217713,-5.96382717766148,1.0,N.Cercanías < 80 cir/día,444-BIF.TAMARGUILLO-LA SALUD
A5101,"LA SALUD-AGUJA KM. 10,2",S,Bifurcación,37.3402536474573,-5.95932352574377,51010,PADRE PIO-PALMETE (APD),S,Punto KM,37.3709571870026,-5.93948070190443,3.6,N.Cercanías < 80 cir/día,444-BIF.TAMARGUILLO-LA SALUD
A5110,KM. 1.717 LIM ADIF-PUERTO SEVILLA,S,Cargadero,37.3367431176328,-5.97502762735061,50803,SEVILLA-PUERTO,S,Apeadero,37.3598863797089,-5.99605109688751,0.0,Uso mercancías,452-PUERTO DE SEVILLA(CGD)-LA SALUD
A5110,KM. 1.717 LIM ADIF-PUERTO SEVILLA,S,Cargadero,37.3367431176328,-5.97502762735061,51106,KM. 4.6 (LA PALMERA),S,Apartadero,37.3550799545905,-5.99121557724693,3.0,Uso mercancías,452-PUERTO DE SEVILLA(CGD)-LA SALUD
